LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice,WinBit,MarginPrice
1878676,starboardfinancialmanagement,mct,0,7,192600,192600,6.5,condo,primaryresidence,1,conf,purchase,full,du,744,90,90,1,0,az,other,other,fixed,360,fnmafixed30homeready,1,0,0,1,1,moderate,middle,upper middle,1,1,1,security,fnma,buyup,fnf30s,bal 200k,5.5,0.25,0.03,0.25,0,97.610481,0,0.3125,320,0,1,0,1,0,1,0.6508,62,4.926,4.224,4.072,5.677,49.6,4462.94,0,-0.3677,0,-0.694608
1878678,starboardfinancialmanagement,mct,0,7,100000,100000,6.875,singlefamily,investment,1,conf,purchase,full,du,771,40,40,1,0,az,other,other,fixed,360,fnmafixed30,0,0,0,0,1,upper,moderate,lower middle,0,0,1,security,fglmc,cap,fgf30s,bal 110k,6,0.25,0.135,0,0,99.557568,-1.125,1.40625,320,0,0,0,0,0,0,0.016,5,4.832,4.773,3.533,4.829,3.5,100975.25,0,-0.3677,0,-0.000389
1878679,starboardfinancialmanagement,mct,0,7,302737,299000,5.875,pud,primaryresidence,1,va,purchase,full,du,796,62.947,62.947,1,0,az,other,other,fixed,360,vafixed30,0,0,0,0,1,upper,moderate,lower middle,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5.5,0.19,0.125,0,0,97.596283,0,0.001953,320,0,0,0,0,0,0,0,10,6.415,4.804,0,0,17.8,18368.76,0,-0.3677,0,0.150379
1878681,hallmarkhomemortgage,resi,0,7,175000,175000,7.25,singlefamily,primaryresidence,1,conf,purchase,full,du,738,57.377,57.377,0,0,in,other,other,fixed,360,fnmafixed30,0,0,0,0,0,middle,middle,very low,0,0,1,security,fglmc,cap,fgf30s,bal 175k,6.5,0.25,0.01,0,0,101.772754,0,0.875,320,0,1,0,0,0,0,0.1176,3,4.699,4.513,3.052,4.552,45.87,5063.54,0,-0.3677,0,-0.149568
1878683,hallmarkhomemortgage,resi,0,7,264000,264000,7.375,singlefamily,primaryresidence,1,conf,purchase,full,lp,752,80,80,1,0,in,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,middle,very low,0,0,1,security,fglmc,cap,fgf30s,bal 275k,6.5,0.25,0.135,0,0,100.376816,-0.875,0.09375,320,0,0,0,0,0,0,0,3,5.271,3.964,2.926,4.527,45.04,9099.78,0,-0.3677,0,0.00051
1878684,hallmarkhomemortgage,resi,0,7,209475,209475,7.5,singlefamily,primaryresidence,1,conf,purchase,full,lp,766,95,95,1,0,in,other,other,fixed,360,fhlmcfixed30,0,0,0,0,1,moderate,high,very low,0,0,1,security,fglmc,buyup,fgf30s,bal 225k,6.5,0.25,0.25,0.01,0,102.040044,-0.5,0.4375,320,0,0,0,0,0,0,0,3,5.223,4.322,2.809,4.412,49.53,5488.66,0,-0.3677,0,0.159708
1878685,hallmarkhomemortgage,resi,0,7,134290,130000,7.25,singlefamily,primaryresidence,1,va,purchase,full,du,736,100,100,1,0,in,other,other,fixed,360,vafixed30,0,0,0,0,1,moderate,other,upper middle,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,7,0.19,0,0,0,101.540519,0,0.0625,320,0,0,0,0,0,0,0,3,3.456,4.783,0,0,52.23,4239.17,0,-0.3677,0,-0.000464
1878686,hallmarkhomemortgage,resi,0,7,410000,410000,6.5,singlefamily,primaryresidence,1,conf,purchase,full,lp,780,50,50,1,1,in,other,other,fixed,180,fhlmcfixed15,0,0,0,0,0,upper,high,low,0,0,1,security,fglmc,buydn,fgf15s,newprod,6,0.25,0,0,0.095,100.171442,0,0.001953,320,0,0,0,0,0,0,0,3,4.257,2.305,2.709,4.135,21.66,21980.68,0,-0.3677,0,0.079949
1878687,hallmarkhomemortgage,resi,0,7,207000,207000,7.625,singlefamily,primaryresidence,1,conf,purchase,full,du,772,90,90,1,0,in,other,other,fixed,360,fnmafixed30,0,0,0,0,1,moderate,middle,low,1,0,1,security,fnma,buyup,fnf30s,bal 225k,6.5,0.25,0.155,0.25,0,101.697208,-0.5,0.4375,320,0,1,0,0,0,0,0.2727,3,4.939,3.914,3.142,4.367,47.68,3927.72,0,-0.3677,0,-0.119873
1878688,hallmarkhomemortgage,resi,0,7,244000,244000,6.99,singlefamily,primaryresidence,1,conf,purchase,full,lp,795,80,80,1,0,in,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,high,low,0,0,1,security,fglmc,cap,fgf30s,bal 250k,6,0.25,0.25,0,0,99.952449,-0.375,0.140625,320,0,0,0,0,0,0,0,3,5.409,4.124,3.533,4.829,39.73,10234.91,0,-0.3677,0,0.050492
1878691,evergreenhomeloans,resi,0,7,674950,674950,6.5,pud,primaryresidence,1,conf,purchase,full,lp,793,71.051,71.051,1,1,wa,other,other,fixed,360,fhlmcfixed30,1,0,0,0,0,upper,high,upper middle,0,0,1,security,fglmc,buydn,fgf30s,newprod,6,0.25,0,0,0.24,97.438348,0,0.000122,320,0,0,0,0,0,0,0,5,5.257,3.751,3.963,5.259,42.41,14067.5,0,-0.3677,0,0.000066
1878692,evergreenhomeloans,resi,0,7,420000,420000,7.375,singlefamily,primaryresidence,1,conf,purchase,full,du,751,80,80,1,0,wa,other,other,fixed,360,fnmafixed30,0,0,0,0,1,moderate,middle,low,0,0,1,security,fglmc,cap,fgf30s,newprod,6.5,0.25,0.135,0,0,100.119444,-0.875,0.000122,320,0,1,0,0,0,0,0.0318,5,4.903,3.569,2.926,4.527,35.27,6552,0,-0.3677,0,-0.109858
1878693,evergreenhomeloans,resi,0,7,719200,719200,7.99,singlefamily,primaryresidence,1,conf,purchase,full,lp,687,80,80,1,0,wa,other,other,fixed,360,fhlmcfixed30,0,0,0,0,1,upper,moderate,lower middle,0,0,1,security,fglmc,cap,fgf30s,fico <700,7,0.25,0.25,0,0,101.023934,-1.75,0.003906,320,0,0,0,0,0,0,0,4,4.44,2.95,2.66,4.267,49.94,18289.38,0,-0.3677,0,-0.000049
1878694,evergreenhomeloans,resi,0,7,700000,700000,7.5,singlefamily,primaryresidence,1,conf,purchase,full,lp,774,80,80,1,1,wa,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,middle,low,0,0,1,security,fglmc,buyup,fgf30s,newprod,6.5,0.25,0.25,0.01,0,100.376338,-0.625,0.000122,320,0,0,0,0,0,0,0,6,4.164,2.559,2.809,4.412,41.76,18856.29,0,-0.3677,0,0.000022
1878695,evergreenhomeloans,resi,0,7,356000,356000,7.5,singlefamily,investment,1,conf,purchase,full,du,735,80,80,1,0,or,other,other,fixed,360,fnmafixed30,1,0,0,0,1,middle,moderate,lower middle,1,0,1,security,fnma,buyup,fnf30s,nonowner,6.5,0.25,0.03,0.25,0,96.702002,-4.625,0.125,320,0,0,0,0,0,0,0.4691,5,4.705,3.791,3.192,4.447,46.75,5633.33,0,-0.3677,0,0.000004
1878697,evergreenhomeloans,resi,0,7,445000,445000,6.5,singlefamily,primaryresidence,1,conf,purchase,full,lp,794,81.651,81.651,1,0,wa,other,other,fixed,360,fhlmcfixed30homepossible,1,0,0,1,1,moderate,low,upper middle,0,1,1,security,fglmc,buyup,fgf30s,newprod,5.5,0.25,0.25,0.01,0,97.639089,0,0.000122,320,0,1,0,1,0,1,0,6,5.625,4.413,3.963,5.259,43.13,8463.25,0,-0.3677,0,-0.029815
1878699,evergreenhomeloans,resi,0,7,412000,412000,7.99,singlefamily,primaryresidence,1,conf,purchase,full,lp,714,80,80,1,1,wa,other,other,fixed,360,fhlmcfixed30,0,0,0,0,1,upper,moderate,upper middle,0,0,1,security,fglmc,cap,fgf30s,newprod,7,0.25,0.25,0,0,101.285246,-1.375,0.000122,320,0,0,0,1,1,0,0,3,4.149,2.798,2.66,4.267,46.38,10715.93,0,-0.3677,0,0.000259
1878701,evergreenhomeloans,resi,0,7,470250,470250,7.99,singlefamily,primaryresidence,1,conf,purchase,full,lp,805,95,95,1,0,or,other,other,fixed,360,fhlmcfixed30,1,0,0,0,0,upper,middle,lower middle,0,0,1,security,fglmc,cap,fgf30s,ltv  95,7,0.25,0.25,0,0,102.646955,-0.25,0.003906,320,0,0,0,0,0,0,0,6,4.451,3.344,2.66,4.267,31.34,14220.08,0,-0.3677,0,-0.000055
1878702,evergreenhomeloans,resi,0,7,416000,416000,7.5,singlefamily,primaryresidence,1,conf,purchase,full,lp,698,80,80,1,1,wa,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,middle,lower middle,0,0,1,security,fglmc,buyup,fgf30s,fico <700,6.5,0.25,0.25,0.01,0,99.550286,-1.75,0.003125,320,0,0,0,0,0,0,0,4,4.607,3.309,2.809,4.412,50.1,15083.84,0,-0.3677,0,-0.000016
1878704,evergreenhomeloans,resi,0,7,529600,529600,7.75,singlefamily,primaryresidence,1,conf,purchase,full,du,763,80,80,1,0,wa,other,other,fixed,360,fnmafixed30,1,0,0,0,0,upper,middle,lower middle,0,1,1,security,fglmc,cap,fgf30s,newprod,7,0.25,0.01,0,0,102.076937,0,0.000122,320,0,0,0,0,0,0,0.0147,3,4.522,3.041,2.697,4.302,33.81,13514.03,0,-0.3677,0,-0.000064
1878706,evergreenhomeloans,resi,0,7,330000,330000,6.875,singlefamily,primaryresidence,1,conf,purchase,full,du,790,41.25,41.25,1,1,wa,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,low,0,0,1,security,fglmc,cap,fgf30s,newprod,6,0.25,0.135,0,0,99.345177,0,0.000122,320,0,0,0,0,0,0,0.007,3,5.598,3.997,3.533,4.829,25.02,13009.6,0,-0.3677,0,0.000224
1878708,evergreenhomeloans,resi,0,7,225000,225000,6.99,pud,primaryresidence,1,conf,purchase,full,du,812,53.957,53.957,1,1,nv,other,other,fixed,360,fnmafixed30,0,0,0,0,0,middle,middle,lower middle,0,0,1,security,fglmc,cap,fgf30s,bal 225k,6,0.25,0.25,0,0,99.810709,0,0.25,320,0,0,0,0,0,0,0.0174,6,4.739,3.787,3.533,4.829,48.86,6964.99,0,-0.3677,0,-0.000252
1878709,evergreenhomeloans,resi,0,7,280000,280000,7.375,singlefamily,primaryresidence,1,conf,purchase,full,lp,689,88.889,88.889,1,0,id,other,other,fixed,360,fhlmcfixed30homepossible,0,0,0,1,0,middle,middle,lower middle,0,0,1,security,fglmc,cap,fgf30s,bal 300k,6.5,0.25,0.135,0,0,101.046095,0,0.03125,320,0,1,0,1,1,0,0,5,4.719,3.912,2.926,4.527,49.65,4853.33,0,-0.3677,0,-0.089222
1878710,evergreenhomeloans,resi,0,7,65000,65000,6.5,condo,primaryresidence,1,conf,purchase,full,du,803,16.049,16.049,1,0,wa,other,other,fixed,180,fnmafixed15,0,0,0,0,1,low,moderate,lower middle,0,0,1,security,fglmc,buyup,fgf15s,newprod,5.5,0.25,0.25,0.155,0,100.545846,0,0.001953,320,1,1,0,1,0,1,0.0093,5,4.353,4.041,2.709,4.135,34.17,3500,0,-0.3677,0,-0.820147
1878712,evergreenhomeloans,resi,0,7,339500,339500,7.375,singlefamily,primaryresidence,1,conf,purchase,full,du,795,97,97,1,0,az,other,other,fixed,360,fnmafixed30,1,0,0,0,0,middle,middle,lower middle,0,1,1,security,fnma,buyup,fnf30s,ltv  95,6.5,0.25,0,0.155,0,100.863936,0,0.003125,320,0,0,0,1,0,1,0.0221,4,4.913,3.774,3.302,4.587,42.54,6761.51,0,-0.3677,0,0.000154
1878713,evergreenhomeloans,resi,0,7,600000,600000,8.125,singlefamily,secondhome,1,conf,purchase,full,lp,758,80,80,1,1,wa,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,middle,lower middle,0,0,1,security,fglmc,buyup,fgf30s,newprod,7,0.25,0.25,0.135,0,98.585587,-4.25,0.000122,320,0,0,0,0,0,0,0,5,3.956,2.374,2.457,4.068,38.16,28528.52,0,-0.3677,0,0.049378
1878714,evergreenhomeloans,resi,0,7,455900,455900,7.25,singlefamily,primaryresidence,1,conf,purchase,full,lp,745,97,97,1,0,wa,other,other,fixed,360,fhlmcfixed30,1,0,0,0,0,upper,middle,low,0,0,1,security,fglmc,cap,fgf30s,ltv  95,6.5,0.25,0.01,0,0,100.1598,-0.5,0.003125,320,0,0,0,0,0,0,0,6,5.331,4.168,3.052,4.552,45.65,12508.34,0,-0.3677,0,0.000498
1878715,evergreenhomeloans,resi,0,7,603000,603000,7.5,singlefamily,secondhome,1,conf,purchase,full,du,803,75,75,1,1,wa,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,low,0,0,1,security,fnma,buyup,fnf30s,newprod,6.5,0.25,0.03,0.25,0,98.896503,-2.125,0.000122,320,0,0,0,0,0,0,0.0058,4,4.182,2.497,3.192,4.447,33.93,38045.08,0,-0.3677,0,0.000466
1878716,evergreenhomeloans,resi,0,7,510000,510000,7.25,singlefamily,primaryresidence,1,conf,purchase,full,lp,734,85,85,1,0,wa,other,other,fixed,360,fhlmcfixed30homepossible,0,0,0,1,0,middle,high,lower middle,0,0,1,security,fglmc,cap,fgf30s,newprod,6.5,0.25,0.01,0,0,100.570324,0,0.000122,320,0,1,0,0,0,0,0,3,5.001,3.657,3.052,4.552,49.17,8689,0,-0.3677,0,-0.209985
1878717,academymortgage,compass,0,7,138000,138000,7.875,condo,investment,1,conf,purchase,full,du,726,75,75,0,0,tx,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,cap,fgf30s,bal 150k,7,0.25,0.135,0,0,100.750967,-3,1.15625,320,0,0,0,0,0,0,0.0479,2,4.236,4.385,2.66,4.267,30.02,6368.82,0,-0.3677,0,0.393993
1878718,academymortgage,compass,0,7,343574,337665,6.875,singlefamily,primaryresidence,1,fha,purchase,full,du,697,96.5,96.5,1,0,wa,other,other,fixed,360,fhafixed30,1,0,0,0,0,middle,middle,low,0,0,1,security,gnmaii,gnsec,g2f30s,bal 350k,6.5,0.19,0.125,0,0,100.989009,0,0.160156,320,0,0,0,0,0,0,0,1,4.081,4.365,0,0,53.37,6285.08,0,-0.3677,0,0.070041
1878719,academymortgage,compass,0,7,266000,266000,7.875,condo,primaryresidence,1,conf,purchase,full,lp,683,95,95,1,0,az,other,other,fixed,360,fhlmcfixed30,1,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,cap,fgf30s,bal 275k,7,0.25,0.135,0,0,100.595366,-2.125,0.1875,320,0,0,0,0,0,0,0,2,4.391,3.642,2.66,4.267,45.73,9024.2,0,-0.3677,0,0.107394
1878720,academymortgage,compass,0,7,401874,394963,5.625,singlefamily,primaryresidence,1,fha,purchase,full,du,679,96.5,96.5,1,0,id,other,other,fixed,360,fhafixed30,1,0,0,0,0,upper,high,low,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.375,0,0,95.985123,0,0.001953,320,0,0,0,0,0,0,0,1,4.081,4.858,0,0,39.8,13127.37,0,-0.3677,0,0.00022
1878721,academymortgage,compass,0,7,269272,264641,6.25,singlefamily,primaryresidence,1,fha,purchase,full,lp,674,96.5,96.5,1,0,az,other,other,fixed,360,fhafixed30,1,0,0,0,0,upper,high,upper middle,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,6,0.19,0,0,0,98.727542,0,0.007812,320,0,0,0,0,0,0,0,1,3.567,4.483,0,0,55.94,5729.17,0,-0.3677,0,0.020272
1878722,academymortgage,compass,0,7,252000,252000,7.625,condo,primaryresidence,1,conf,purchase,full,lp,802,80,80,1,0,wa,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,middle,middle,lower middle,0,0,1,security,fglmc,buyup,fgf30s,bal 275k,6.5,0.25,0.25,0.135,0,100.806431,-1.125,0.09375,320,0,0,0,0,0,0,0,2,4.874,3.799,2.713,4.317,44.34,8199.09,0,-0.3677,0,-0.000148
1878725,academymortgage,compass,0,7,100000,100000,6.25,singlefamily,primaryresidence,1,conf,purchase,full,du,808,20,20,1,1,az,other,other,fixed,360,fnmafixed30,0,0,0,0,1,low,moderate,upper middle,0,0,1,security,fglmc,cap,fgf30s,bal 110k,5.5,0.25,0.01,0,0,97.588116,0,1,320,1,1,0,1,0,1,0.01,2,5.776,5.009,4.333,5.629,37.58,2553.06,0,-0.3677,0,-1.009785
1878727,academymortgage,compass,0,7,730955,718384,7.25,singlefamily,primaryresidence,1,fha,purchase,full,other,623,96.5,96.5,1,0,co,other,other,fixed,360,fhafixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,7,0.19,0,0,0,101.308057,0,0.0625,320,0,0,0,0,0,0,0,1,2.148,3.531,0,0,37.69,20692.94,0,-0.3677,0,0.010082
1878728,academymortgage,compass,0,7,306000,306000,7,singlefamily,primaryresidence,1,conf,purchase,full,du,753,90,90,1,0,ma,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,low,1,0,1,security,fnma,buyup,fnf30s,newprod,6,0.25,0.03,0.25,0,98.746039,-0.75,0.000122,320,0,0,0,0,0,0,0.3068,4,4.94,3.738,3.612,5.027,46.18,14560.24,0,-0.3677,0,0.000345
1878730,academymortgage,compass,0,7,392850,392850,7.75,singlefamily,primaryresidence,1,conf,purchase,full,du,806,97,97,1,0,nc,other,other,fixed,360,fnmafixed30,1,0,0,0,0,upper,high,low,0,0,1,security,fnma,buyup,fnf30s,ltv  95,7,0.25,0,0.03,0,102.068135,-0.125,0.003906,320,0,0,0,0,0,0,0.021,2,5.343,3.939,3.082,4.287,39.55,9583.6,0,-0.3677,0,0.008045
1878732,academymortgage,compass,0,7,387000,387000,7.25,singlefamily,primaryresidence,1,va,purchase,full,du,694,100,100,1,0,az,other,other,fixed,360,vafixed30,1,0,0,0,0,upper,high,upper middle,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,7,0.19,0,0,0,101.626473,0,0.0625,320,0,0,0,0,0,0,0,1,3.82,2.81,0,0,44.9,8139.87,0,-0.3677,0,0.000494
1878733,academymortgage,compass,0,7,148000,148000,7,singlefamily,primaryresidence,1,conf,purchase,full,du,780,80,80,1,0,nm,other,other,fixed,360,fnmafixed30,0,0,0,0,0,middle,middle,lower middle,0,0,1,security,fglmc,buyup,fgf30s,bal 150k,6,0.25,0.25,0.01,0,100.833549,-0.375,0.84375,320,0,1,0,0,0,0,0.0162,2,5.236,4.859,3.395,4.791,30.8,3667.35,0,-0.3677,0,-0.35043
1878734,academymortgage,compass,0,7,423530,410000,5.75,singlefamily,primaryresidence,1,va,purchase,full,du,690,100,100,1,0,ga,other,other,fixed,360,vafixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5.5,0.19,0,0,0,96.737436,0,0.001953,320,0,0,0,0,0,0,0,1,5.101,4.042,0,0,60.16,8054.36,0,-0.3677,0,0.739567
1878735,academymortgage,compass,0,7,394000,394000,6,singlefamily,primaryresidence,1,va,purchase,full,du,790,100,100,1,0,ga,other,other,fixed,360,vafixed30,1,0,0,0,0,upper,middle,low,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5.5,0.19,0.25,0,0,98.045354,0,0.001953,320,0,0,0,0,0,0,0,1,6.352,4.221,0,0,41.17,16830,0,-0.3677,0,0.020445
1878736,academymortgage,compass,0,7,322968,322968,7.25,singlefamily,primaryresidence,1,conf,purchase,full,du,781,80,80,1,0,ut,other,other,fixed,360,fnmafixed30,1,0,0,0,1,moderate,high,very low,0,1,1,security,fglmc,cap,fgf30s,newprod,6.5,0.25,0.01,0,0,100.581031,0,0.000122,320,0,1,0,0,0,0,0.1031,3,4.951,3.767,3.052,4.552,48.83,5441.31,0,-0.3677,0,-0.190274
1878737,academymortgage,compass,0,7,225000,225000,6.875,singlefamily,primaryresidence,1,conf,purchase,full,du,809,75,75,1,0,fl,other,other,fixed,240,fnmafixed20,1,0,0,0,0,upper,middle,lower middle,0,0,1,security,fglmc,cap,fgf20s,newprod,6,0.25,0.16,0,0,99.952975,0,0,320,0,0,0,0,0,0,0.0063,2,4.989,3.507,2.987,4.315,22.21,9583.33,0,-0.3677,0,0.000015
1878738,academymortgage,compass,0,7,571200,571200,8.125,condo,investment,1,conf,purchase,full,du,735,80,80,1,0,ca,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,lower middle,0,0,1,security,fglmc,buyup,fgf30s,nonowner,7,0.25,0.25,0.135,0,97.988463,-5.375,0.25,320,0,0,0,0,0,0,0.0816,1,4.399,2.944,2.457,4.068,43.84,18623.33,0,-0.3677,0,0.000269
1878740,academymortgage,compass,0,7,624000,624000,7.25,singlefamily,primaryresidence,1,conf,purchase,full,lp,775,80,80,1,0,fl,other,other,fixed,360,fhlmcfixed30,1,0,0,0,0,upper,middle,lower middle,0,0,1,security,fglmc,cap,fgf30s,fl,6.5,0.25,0.01,0,0,100.102039,-0.625,0.007812,320,0,0,0,0,0,0,0,2,5.516,3.585,3.052,4.552,46.44,20302.36,0,-0.3677,0,-0.000259
